customCategory;budgetAmount;desc
feeding;2142;1412 + 730
property;-163;
tax;-118;
baby;-612;
leisure;-250;
shopping;-650;
service;-182;
health;-120;
cleaning;-120;
insurance;-126;
internal;0;
unknown;0;
